text,sentiment_score,churn_label
trying to redeem a free tuesday code and its not letting me telling me theres an error can i get help with this?,0.5106,0
115918 ok maybe my problem too let me try that resizing,-0.128,1
got it one of them resized to 4x4 so instead of alerting me it just wouldn't take the coupon code i resized it and it worked thanks,0.4404,0
1247 the 10568 code is not working when applied at checkout can you please look into this?,0.3182,0
115913 john why i am having so much trouble coming back,-0.4549,1
115913 8 hours total over 3 days and still working on coming back why 115913 ?,0.0,0
115913 i am not going to a store! i spend sunday 6 hours trying to come back and tweeting today you are making me go back and front for 1 and 12 hours no worth it,-0.1511,1
116151 115913 quit begging for this idiots business,0.0,1
115913 thanks!,0.4926,0
115913 i send dm over to you guys cassy or jason were helping me,0.296,0
115913 116154 so you 115913 know! been trying to chat but your team is asking for a pin or password i dont have making me feel like you dont want me back,0.4954,0
115913 116154 dont get why they are asking for my password,0.0,0
115913 john i try to come back to tmobile but they want me to go to the store maybe 116154 team can help because customer service want me to go to the stores maybe i just stay will my current service dont seem like u guy want me back,0.4998,0
can someone help me with a question i have please?,0.6124,0
i dmed you,0.0,0
116755 115913 do you have any discounts or other ways to help nonprofits reduce communication expenses while away from the office? trying to budget and find ways to reduce overhead to get an idea of our mission check out,0.4019,0
i'd rather do it in person,0.0,0
115913 i dont mean to be rude to you or anything its very frustrating! i feel like you guys dont want me back!,-0.6411,1
115913 hi any updates on porting the numbers over? see you in the dms?,0.0,0
one more question please,0.3774,0
115913 john i am finally am back on tmobile your team was great in helping me port back! please note zach r mariah d and jason y were great in helping me!,0.938,0
says i can't dm you,0.0,0
you guys just gave my phone number away after i called in a put on a security alert someone needs to help me immediately,0.765,0
hi sultan you mentioned i should send you dm,0.0,0
will do! thx!,0.4738,0
i need help,0.4019,0
how to set up fingerprint on my phone i got savsung galaxy j3prime,0.0,0
what app should i put on my phone to do finger print on my phone,0.0,0
115913 i just did hope to get a resolution soon,0.4404,0
115913 i went to tmobile store today after my yesterday's conversation and got turned down again,0.0,0
thanks nick for the reply but you can check my dms i sent previously they wont help,-0.2351,1
i did man,0.0,0
any luck with those new terms?,0.4588,0
if i can zero down on our phones thats wht i need but they already said my not able because im not a 3 year customer,0.0,0
thank you but ive fought with you guys all weekend over dms they wont give me zero down,-0.296,1
117543 i've talked with you trying to see what neville has to say,0.0,0
hi there i sent some dms and need some serious help with my bill and autopay issues thank you,0.5994,0
thinking of leaving tmobile foratampt,0.0,0
looking for the best deal on an s8 i8 or htc u11 longtime verizon customer,0.6369,0
that was a terrible 2 hr customer service experience was transferred internally to an expired 6 transfers 2 dropped calls,-0.4767,1
i dont have words for how frustrated i am by the lack of professionalism accountability and ability to resolve the problem,-0.5423,1
ive been down this rabbit hole before sending another dm,0.0,0
brendan transferred me 7th time tonight the next person kept me up until 1am only to tell me he lacks credentials to place the order,0.0,0
tried to have me call sales which wouldve made for 3rd time tonight two month delay on my phone lot of excusespassing around no help,-0.2023,1
i feel like you guys have ruined the x for me by the time i get it it wont be a year until the upgrade so ill be out more and behind,-0.6389,1
top that off earliest i can get the phone now is mid december cant confirm the date enough to know which side of the country ill be on,-0.25,1
idk how to dm on twitter,-0.1027,1
117834 he is right that code did not work at all !!,0.0,0
